Train epoch:1, loss=0.3744345062374141, err=0.9975090814737925
Test epoch:1, loss=0.3966438541578692, err=0.9951162790697674
Train epoch:2, loss=0.29235202359392287, err=0.905760249091852
Test epoch:2, loss=0.3705939972469973, err=0.9352325581395349
Train epoch:3, loss=0.22636855042094417, err=0.690023352361184
Test epoch:3, loss=0.3576975181005722, err=0.9062790697674415
Train epoch:4, loss=0.18185088954881398, err=0.5157368967306706
Test epoch:4, loss=0.3260511961787246, err=0.8634883720930229
Train epoch:5, loss=0.15386774336322795, err=0.4022184743124021
Test epoch:5, loss=0.3010307867339877, err=0.8276744186046507
Train epoch:6, loss=0.1360125844335434, err=0.3313700051894134
Test epoch:6, loss=0.2809771741892016, err=0.7988372093023253
Train epoch:7, loss=0.12324730480707444, err=0.27896990140114175
Test epoch:7, loss=0.26567105030597643, err=0.7739534883720927
Train epoch:8, loss=0.11404016257380195, err=0.24077581733264122
Test epoch:8, loss=0.2527003570698028, err=0.7398837209302321
Train epoch:9, loss=0.10707636088322313, err=0.21329787234042527
Test epoch:9, loss=0.2416143671891024, err=0.7061627906976741
Train epoch:10, loss=0.10163419355203837, err=0.1916709911779966
Test epoch:10, loss=0.23253925567449527, err=0.6797674418604649
Train epoch:11, loss=0.09755784003996809, err=0.1737934613388687
Test epoch:11, loss=0.22490034867511238, err=0.6617441860465111
Train epoch:12, loss=0.09423227940691363, err=0.1591463414634146
Test epoch:12, loss=0.2178740996954053, err=0.6452325581395346
Train epoch:13, loss=0.09150531239078787, err=0.1483523611831863
Test epoch:13, loss=0.21234474426438643, err=0.6319767441860465
Train epoch:14, loss=0.08915255154175157, err=0.1380513751946032
Test epoch:14, loss=0.20718814231628596, err=0.616627906976744
Train epoch:15, loss=0.08717855327575626, err=0.13009859885832908
Test epoch:15, loss=0.2026287234626537, err=0.6079069767441858
Train epoch:16, loss=0.08561029867232851, err=0.1229761286974573
Test epoch:16, loss=0.19829941407539123, err=0.5943023255813956
Train epoch:17, loss=0.08407791136929763, err=0.11687856772184756
Test epoch:17, loss=0.1946761616613976, err=0.5812790697674419
Train epoch:18, loss=0.08286593249043499, err=0.11092371562013505
Test epoch:18, loss=0.1911037956039573, err=0.5670930232558141
Train epoch:19, loss=0.0816738250712247, err=0.1052023871302543
Test epoch:19, loss=0.1878198800911737, err=0.5495348837209307
Train epoch:20, loss=0.08070605703434783, err=0.10159574468085102
Test epoch:20, loss=0.18477576910409815, err=0.5324418604651165
Train epoch:21, loss=0.07980543986150389, err=0.09732745199792418
Test epoch:21, loss=0.18173362805053245, err=0.5182558139534885
Train epoch:22, loss=0.07894612621751841, err=0.09401920083030618
Test epoch:22, loss=0.17915790658010994, err=0.5061627906976747
Train epoch:23, loss=0.0781818974268254, err=0.09080176440062276
Test epoch:23, loss=0.1768323788289414, err=0.49465116279069754
Train epoch:24, loss=0.07745211719345353, err=0.08745459263103271
Test epoch:24, loss=0.17425682137525358, err=0.4836046511627905
Train epoch:25, loss=0.07677780127865187, err=0.0847171769590037
Test epoch:25, loss=0.17206781882532807, err=0.4712790697674418
Train epoch:26, loss=0.07625933325852857, err=0.08231707317073178
Test epoch:26, loss=0.16989696533527485, err=0.4615116279069768
Train epoch:27, loss=0.07563024374246057, err=0.07967047223663735
Test epoch:27, loss=0.1678799667677214, err=0.4538372093023255
Train epoch:28, loss=0.07508055811103184, err=0.07704981837052405
Test epoch:28, loss=0.16601840876216112, err=0.4444186046511628
Train epoch:29, loss=0.07467607183881649, err=0.07520757654385049
Test epoch:29, loss=0.164011231428662, err=0.43406976744186054
Train epoch:30, loss=0.07423262927124444, err=0.07302802283341979
Test epoch:30, loss=0.1624108439961145, err=0.42476744186046533
Train epoch:31, loss=0.07375523333109579, err=0.07049818370524129
Test epoch:31, loss=0.16057245005355325, err=0.4133720930232559
Train epoch:32, loss=0.073364322272878, err=0.06934353918007263
Test epoch:32, loss=0.15892433447893275, err=0.4029069767441862
Train epoch:33, loss=0.07298942063135236, err=0.06713803840166055
Test epoch:33, loss=0.15765842738193134, err=0.3976744186046511
Train epoch:34, loss=0.07266647717613411, err=0.06571094966268809
Test epoch:34, loss=0.15617075933273447, err=0.38930232558139516
Train epoch:35, loss=0.07232521749070164, err=0.06419304618578099
Test epoch:35, loss=0.15450301853030227, err=0.37953488372093036
Train epoch:36, loss=0.0720267483909466, err=0.06251946030098597
Test epoch:36, loss=0.15331701781860618, err=0.3754651162790698
Train epoch:37, loss=0.07174351716923494, err=0.06118318629994809
Test epoch:37, loss=0.15153389928299327, err=0.36360465116279056
Train epoch:38, loss=0.0714860565856014, err=0.06019719771665805
Test epoch:38, loss=0.15093423705114875, err=0.36174418604651165
Train epoch:39, loss=0.07124653681349077, err=0.05904255319148937
Test epoch:39, loss=0.14916617549782576, err=0.3551162790697675
Train epoch:40, loss=0.0709960656385573, err=0.05784898806434874
Test epoch:40, loss=0.148219098947769, err=0.3493023255813955
Train epoch:41, loss=0.07074090131603425, err=0.05669434353918008
