Train epoch:1, loss=0.38222858631431467, err=0.9986766995329525
Test epoch:1, loss=0.3958047327607177, err=0.9958139534883721
Train epoch:2, loss=0.29835911588303526, err=0.9186299948105852
Test epoch:2, loss=0.39013551210248193, err=0.9612790697674418
Train epoch:3, loss=0.22915237373418693, err=0.6843928386092379
Test epoch:3, loss=0.35053050472985864, err=0.9108139534883718
Train epoch:4, loss=0.18339780920736595, err=0.5091333679294238
Test epoch:4, loss=0.3199999985306762, err=0.8704651162790693
Train epoch:5, loss=0.15393952518937404, err=0.4030617540217959
Test epoch:5, loss=0.29716127967072087, err=0.8262790697674411
Train epoch:6, loss=0.13823648238845546, err=0.33550856253243405
Test epoch:6, loss=0.27938856579536614, err=0.8008139534883716
Train epoch:7, loss=0.12758268174421977, err=0.28963414634146323
Test epoch:7, loss=0.2646377656002377, err=0.7762790697674417
Train epoch:8, loss=0.1161978644897391, err=0.24279968863518403
Test epoch:8, loss=0.25140006871417514, err=0.7417441860465116
Train epoch:9, loss=0.10665633268200042, err=0.2129994810586402
Test epoch:9, loss=0.24141361035926398, err=0.7082558139534882
Train epoch:10, loss=0.10574985431583592, err=0.20499481058640365
Test epoch:10, loss=0.23079061925757763, err=0.6827906976744182
Train epoch:11, loss=0.10126102144854578, err=0.1849507005708359
Test epoch:11, loss=0.22139720554615175, err=0.6558139534883716
Train epoch:12, loss=0.09679006383723865, err=0.16189673066943444
Test epoch:12, loss=0.21500259249709372, err=0.640813953488372
Train epoch:13, loss=0.09348944483492108, err=0.15006486766995344
Test epoch:13, loss=0.20808164619429168, err=0.6218604651162789
Train epoch:14, loss=0.0927757088657513, err=0.14279968863518447
Test epoch:14, loss=0.2033810621084169, err=0.6073255813953488
Train epoch:15, loss=0.09061080070872674, err=0.13746756616502337
Test epoch:15, loss=0.19898083433508873, err=0.5944186046511627
Train epoch:16, loss=0.0885103297906531, err=0.12389724961079426
Test epoch:16, loss=0.1945720998700275, err=0.5761627906976746
Train epoch:17, loss=0.08681454690493214, err=0.1194473274519981
Test epoch:17, loss=0.19033166774830154, err=0.5555813953488373
Train epoch:18, loss=0.08514907161913499, err=0.11246756616502353
Test epoch:18, loss=0.1872557846439439, err=0.5375581395348838
Train epoch:19, loss=0.08505618522165041, err=0.110352880124546
Test epoch:19, loss=0.18389969748813054, err=0.5234883720930233
Train epoch:20, loss=0.08180497652480352, err=0.10313959522573952
Test epoch:20, loss=0.18076541253993678, err=0.5043023255813953
Train epoch:21, loss=0.08187461399377073, err=0.09801504929942927
Test epoch:21, loss=0.17815828332027725, err=0.4909302325581396
Train epoch:22, loss=0.08220156248403712, err=0.09709392838609249
Test epoch:22, loss=0.17519226931901866, err=0.4759302325581395
Train epoch:23, loss=0.07895227108821544, err=0.0895173845355475
Test epoch:23, loss=0.17235014655215797, err=0.4667441860465118
Train epoch:24, loss=0.08007029110259369, err=0.08947846393357566
Test epoch:24, loss=0.17067745107897492, err=0.45918604651162775
Train epoch:25, loss=0.07757720093715977, err=0.08731188375713558
Test epoch:25, loss=0.16916371682702108, err=0.4506976744186048
Train epoch:26, loss=0.07854030741118649, err=0.08121432278152584
Test epoch:26, loss=0.16666060287592022, err=0.4374418604651165
Train epoch:27, loss=0.07867327569217866, err=0.08072132848988083
Test epoch:27, loss=0.16538204635645068, err=0.43569767441860463
Train epoch:28, loss=0.07622299892426727, err=0.07740010378827208
Test epoch:28, loss=0.16474886444765469, err=0.4331395348837208
Train epoch:29, loss=0.07779428564431556, err=0.07916450441100166
Test epoch:29, loss=0.1616778539883536, err=0.4101162790697674
Train epoch:30, loss=0.07714413044143896, err=0.07330046704722373
Test epoch:30, loss=0.159753196755814, err=0.3993023255813955
Train epoch:31, loss=0.07684263768332822, err=0.07293720809548526
Test epoch:31, loss=0.15831385717489, err=0.3909302325581395
Train epoch:32, loss=0.07728555460750948, err=0.07104307213284906
Test epoch:32, loss=0.15668929449694102, err=0.3855813953488373
Train epoch:33, loss=0.07522956537953701, err=0.06747535028541775
Test epoch:33, loss=0.1558307903450589, err=0.3809302325581395
Train epoch:34, loss=0.07339132080008298, err=0.06647638816813704
Test epoch:34, loss=0.1555931182968062, err=0.381860465116279
Train epoch:35, loss=0.07726683214859728, err=0.06904514789828758
Test epoch:35, loss=0.15314489105759665, err=0.36848837209302315
Train epoch:36, loss=0.07398293407118701, err=0.06536066424494033
