Train epoch:1, loss=0.38224121402382666, err=0.9983523611831856
Test epoch:1, loss=0.40793197681737503, err=0.9958139534883721
Train epoch:2, loss=0.2941600298504169, err=0.9214582252205484
Test epoch:2, loss=0.375312124365984, err=0.9733720930232557
Train epoch:3, loss=0.2289582194299372, err=0.691839647119876
Test epoch:3, loss=0.3522622843467912, err=0.9095348837209299
Train epoch:4, loss=0.18056303038071894, err=0.5055007784120396
Test epoch:4, loss=0.3221935967546563, err=0.8632558139534878
Train epoch:5, loss=0.15218719216203777, err=0.3996756616502336
Test epoch:5, loss=0.299317065071921, err=0.8222093023255809
Train epoch:6, loss=0.13392653750844366, err=0.3251297353399065
Test epoch:6, loss=0.2813661746507467, err=0.7994186046511625
Train epoch:7, loss=0.12172426726015649, err=0.27432537623248565
Test epoch:7, loss=0.2665667444121006, err=0.7761627906976746
Train epoch:8, loss=0.11289237388209104, err=0.23697457187337814
Test epoch:8, loss=0.2543749068019002, err=0.7462790697674414
Train epoch:9, loss=0.10617136699449586, err=0.21031395952257387
Test epoch:9, loss=0.2432764493102251, err=0.7115116279069763
Train epoch:10, loss=0.10097543490334347, err=0.18908925791385545
Test epoch:10, loss=0.23412930825075437, err=0.6848837209302319
Train epoch:11, loss=0.09706669667862321, err=0.17222366372599923
Test epoch:11, loss=0.2261193899047929, err=0.666511627906976
Train epoch:12, loss=0.09380708737724151, err=0.1580176440062275
Test epoch:12, loss=0.21906760749082232, err=0.6490697674418601
Train epoch:13, loss=0.09111240028887485, err=0.14648417228853147
Test epoch:13, loss=0.21323823632542477, err=0.6348837209302327
Train epoch:14, loss=0.08881374819713611, err=0.13657239231966806
Test epoch:14, loss=0.20801005141679632, err=0.6209302325581395
Train epoch:15, loss=0.08704396013168547, err=0.12882719252724456
Test epoch:15, loss=0.20314300008291422, err=0.6093023255813952
Train epoch:16, loss=0.08528878048717682, err=0.12149714582252209
Test epoch:16, loss=0.19886409657639126, err=0.5943023255813953
Train epoch:17, loss=0.08393715716681922, err=0.11571094966268824
Test epoch:17, loss=0.1950725846339104, err=0.5848837209302326
Train epoch:18, loss=0.08262230077546745, err=0.10965230928905044
Test epoch:18, loss=0.19137429428655048, err=0.567558139534884
Train epoch:19, loss=0.08154270972391532, err=0.10480020757654386
Test epoch:19, loss=0.1880260372231173, err=0.553139534883721
Train epoch:20, loss=0.0805547715236733, err=0.10098598858329015
Test epoch:20, loss=0.18499376280016677, err=0.5373255813953489
Train epoch:21, loss=0.07964313077993138, err=0.09676959003632594
Test epoch:21, loss=0.1822093232773071, err=0.5206976744186049
Train epoch:22, loss=0.07878786375379788, err=0.09337052413077328
Test epoch:22, loss=0.179598778694175, err=0.5094186046511631
Train epoch:23, loss=0.07799023608655341, err=0.0895563051375195
Test epoch:23, loss=0.17692210248043372, err=0.4947674418604652
Train epoch:24, loss=0.07728790047665024, err=0.08675402179553719
Test epoch:24, loss=0.17432074775529463, err=0.4829069767441859
Train epoch:25, loss=0.076692580049698, err=0.08444473274519979
Test epoch:25, loss=0.17228903784308322, err=0.4717441860465117
Train epoch:26, loss=0.07613429929539135, err=0.08166839647119882
Test epoch:26, loss=0.16998843800189883, err=0.46488372093023256
Train epoch:27, loss=0.07553798833994371, err=0.0791774779449923
Test epoch:27, loss=0.16814746245048767, err=0.4556976744186047
Train epoch:28, loss=0.07503159533988937, err=0.07698495070057086
Test epoch:28, loss=0.1659684982410697, err=0.44290697674418616
Train epoch:29, loss=0.07453156959460724, err=0.07484431759211212
Test epoch:29, loss=0.16439779010969538, err=0.43546511627907003
Train epoch:30, loss=0.07407143814793725, err=0.07245718733783081
Test epoch:30, loss=0.16251558327051097, err=0.4284883720930232
Train epoch:31, loss=0.07371504950038915, err=0.07040736896730669
Test epoch:31, loss=0.16064433710173118, err=0.41290697674418614
Train epoch:32, loss=0.07325151870747304, err=0.06886351842241828
Test epoch:32, loss=0.15914123217726864, err=0.40639534883720924
Train epoch:33, loss=0.07293310757440316, err=0.06704722366372595
Test epoch:33, loss=0.15736134800800058, err=0.3965116279069768
Train epoch:34, loss=0.07256557282251773, err=0.06542553191489357
Test epoch:34, loss=0.1562272149116494, err=0.3879069767441862
Train epoch:35, loss=0.0722626616441769, err=0.06386870783601455
Test epoch:35, loss=0.15474701989875284, err=0.38174418604651195
Train epoch:36, loss=0.07196305269645126, err=0.06215620134924753
Test epoch:36, loss=0.1532524116683838, err=0.37348837209302316
Train epoch:37, loss=0.07163148075023199, err=0.061105345096004134
Test epoch:37, loss=0.15185791489689848, err=0.3668604651162791
Train epoch:38, loss=0.07143217928177902, err=0.05983393876491955
Test epoch:38, loss=0.15042242939735567, err=0.36011627906976734
Train epoch:39, loss=0.07111226480316948, err=0.05870524130773224
Test epoch:39, loss=0.14954301636925962, err=0.35604651162790696
Train epoch:40, loss=0.0709399655925281, err=0.05738194084068498
Test epoch:40, loss=0.14831726713929066, err=0.3506976744186046
Train epoch:41, loss=0.07068180933702964, err=0.05642189932537622
Test epoch:41, loss=0.14701309382568958, err=0.3433720930232558
Train epoch:42, loss=0.0704101460285535, err=0.05505967825635706
Test epoch:42, loss=0.14624911094474238, err=0.3409302325581395
Train epoch:43, loss=0.070306910347381, err=0.05448884276076808
Test epoch:43, loss=0.14487724915839906, err=0.33093023255813964
Train epoch:44, loss=0.07005434112693897, err=0.05310067462376751
Test epoch:44, loss=0.14391193337911784, err=0.3236046511627907
Train epoch:45, loss=0.06989259209211279, err=0.05260768033212249
Test epoch:45, loss=0.14291467533208604, err=0.3184883720930234
Train epoch:46, loss=0.06974029874397208, err=0.05163466528282308
Test epoch:46, loss=0.14164986944822378, err=0.3127906976744186
Train epoch:47, loss=0.06955457994686348, err=0.05081733264141154
Test epoch:47, loss=0.14091981294196707, err=0.3062790697674417
Train epoch:48, loss=0.0694222095198678, err=0.050220550077841236
Test epoch:48, loss=0.14023834929563278, err=0.3034883720930232
Train epoch:49, loss=0.06918365003122573, err=0.048910223144784694
Test epoch:49, loss=0.1391843410425408, err=0.2954651162790699
Train epoch:50, loss=0.0690673440448325, err=0.04818370524130782
Test epoch:50, loss=0.1381629125669945, err=0.2898837209302326
Train epoch:51, loss=0.06890843347822702, err=0.04749610793980285
Test epoch:51, loss=0.13763995863670528, err=0.28430232558139545
Train epoch:52, loss=0.06877553849478629, err=0.04671769590036332
